date,strategy,cumulative_return,drawdown,wealth
201101.0,Long-Short,0.06926131,0.0,1.0692613
201102.0,Long-Short,0.1536684,0.0,1.1536684
201103.0,Long-Short,0.20885122,0.0,1.2088512
201104.0,Long-Short,0.2688049,0.0,1.2688049
201105.0,Long-Short,0.23096037,-0.029826917,1.2309604
201106.0,Long-Short,0.19456577,-0.05851107,1.1945658
201107.0,Long-Short,0.22251403,-0.03648384,1.222514
201108.0,Long-Short,0.08610678,-0.14399229,1.0861068
201109.0,Long-Short,-0.052063704,-0.25289044,0.9479363
201110.0,Long-Short,0.1523583,-0.09177661,1.1523583
201111.0,Long-Short,0.14321268,-0.098984666,1.1432127
201112.0,Long-Short,0.13857567,-0.10263929,1.1385757
201201.0,Long-Short,0.33136582,0.0,1.3313658
201202.0,Long-Short,0.45045793,0.0,1.4504579
201203.0,Long-Short,0.5363115,0.0,1.5363115
201204.0,Long-Short,0.5330057,-0.0021517724,1.5330057
201205.0,Long-Short,0.43517077,-0.06583349,1.4351708
201206.0,Long-Short,0.5127727,-0.015321651,1.5127727
201207.0,Long-Short,0.51314294,-0.015080642,1.513143
201208.0,Long-Short,0.63155603,0.0,1.631556
201209.0,Long-Short,0.75859153,0.0,1.7585915
201210.0,Long-Short,0.73933554,-0.010949669,1.7393355
201211.0,Long-Short,0.805678,0.0,1.805678
201212.0,Long-Short,0.91227293,0.0,1.9122729
201301.0,Long-Short,1.1205766,0.0,2.1205766
201302.0,Long-Short,1.1854792,0.0,2.1854792
201303.0,Long-Short,1.356811,0.0,2.356811
201304.0,Long-Short,1.4170394,0.0,2.4170394
201305.0,Long-Short,1.7494688,0.0,2.7494688
201306.0,Long-Short,1.7967505,0.0,2.7967505
201307.0,Long-Short,2.1764636,0.0,3.1764636
201308.0,Long-Short,2.3930218,0.0,3.3930218
201309.0,Long-Short,2.737585,0.0,3.737585
201310.0,Long-Short,2.794618,0.0,3.794618
201311.0,Long-Short,3.154942,0.0,4.154942
201312.0,Long-Short,3.5118103,0.0,4.5118103
201401.0,Long-Short,3.990519,0.0,4.990519
201402.0,Long-Short,4.454676,0.0,5.454676
201403.0,Long-Short,4.403994,-0.00929149,5.403994
201404.0,Long-Short,3.9765348,-0.08765714,4.976535
201405.0,Long-Short,4.0084023,-0.0818149,5.0084023
201406.0,Long-Short,4.564435,0.0,5.564435
201407.0,Long-Short,4.3769894,-0.033686373,5.3769894
201408.0,Long-Short,4.872502,0.0,5.872502
201409.0,Long-Short,4.699057,-0.029535068,5.699057
201410.0,Long-Short,4.759408,-0.019258207,5.759408
201411.0,Long-Short,4.752409,-0.020450035,5.752409
201412.0,Long-Short,5.0196557,0.0,6.0196557
201501.0,Long-Short,5.0195317,-2.0595473e-05,6.0195317
201502.0,Long-Short,5.932593,0.0,6.932593
201503.0,Long-Short,6.068747,0.0,7.068747
201504.0,Long-Short,6.726071,0.0,7.726071
201505.0,Long-Short,7.361329,0.0,8.361329
201506.0,Long-Short,7.6413994,0.0,8.641399
201507.0,Long-Short,7.4203615,-0.025578944,8.4203615
201508.0,Long-Short,7.4216194,-0.025433376,8.421619
201509.0,Long-Short,6.721454,-0.106457904,7.721454
201510.0,Long-Short,7.30577,-0.038839713,8.30577
201511.0,Long-Short,8.235683,0.0,9.235683
201512.0,Long-Short,7.963537,-0.02946682,8.963537
201601.0,Long-Short,6.842907,-0.15080383,7.842907
201602.0,Long-Short,7.2290754,-0.108991176,8.229075
201603.0,Long-Short,8.539065,0.0,9.539065
201604.0,Long-Short,9.987923,0.0,10.987923
201605.0,Long-Short,10.352687,0.0,11.352687
201606.0,Long-Short,10.897209,0.0,11.897209
201607.0,Long-Short,12.437143,0.0,13.437143
201608.0,Long-Short,13.480206,0.0,14.480206
201609.0,Long-Short,15.079657,0.0,16.079657
201610.0,Long-Short,13.995543,-0.067421466,14.995543
201611.0,Long-Short,15.949699,0.0,16.9497
201612.0,Long-Short,15.74538,-0.012054432,16.74538
201701.0,Long-Short,17.165884,0.0,18.165884
201702.0,Long-Short,17.840052,0.0,18.840052
201703.0,Long-Short,18.58662,0.0,19.58662
201704.0,Long-Short,18.528688,-0.0029577282,19.528688
201705.0,Long-Short,18.349884,-0.012086634,19.349884
201706.0,Long-Short,20.319342,0.0,21.319342
201707.0,Long-Short,20.622313,0.0,21.622313
201708.0,Long-Short,21.671265,0.0,22.671265
201709.0,Long-Short,25.05822,0.0,26.05822
201710.0,Long-Short,25.762732,0.0,26.762732
201711.0,Long-Short,28.031193,0.0,29.031193
201712.0,Long-Short,30.020817,0.0,31.020817
201801.0,Long-Short,32.95275,0.0,33.95275
201802.0,Long-Short,33.39638,0.0,34.39638
201803.0,Long-Short,35.065914,0.0,36.065914
201804.0,Long-Short,36.55882,0.0,37.55882
201805.0,Long-Short,41.766064,0.0,42.766064
201806.0,Long-Short,44.27565,0.0,45.27565
201807.0,Long-Short,44.746723,0.0,45.746723
201808.0,Long-Short,49.732044,0.0,50.732044
201809.0,Long-Short,51.9681,0.0,52.9681
201810.0,Long-Short,49.050533,-0.05508161,50.050533
201811.0,Long-Short,50.014736,-0.036878146,51.014736
201812.0,Long-Short,45.53366,-0.12147765,46.53366
201901.0,Long-Short,55.599854,0.0,56.599854
201902.0,Long-Short,61.87611,0.0,62.87611
201903.0,Long-Short,65.59131,0.0,66.59131
201904.0,Long-Short,67.77164,0.0,68.77164
201905.0,Long-Short,65.5725,-0.03197735,66.5725
201906.0,Long-Short,69.87436,0.0,70.87436
201907.0,Long-Short,70.695656,0.0,71.695656
201908.0,Long-Short,70.54665,-0.002078258,71.54665
201909.0,Long-Short,71.11662,0.0,72.11662
201910.0,Long-Short,75.1059,0.0,76.1059
201911.0,Long-Short,86.30787,0.0,87.30787
201912.0,Long-Short,100.27746,0.0,101.27746
202001.0,Long-Short,111.1098,0.0,112.1098
