permno,n_months,mean_pred_ret,mean_actual_ret
12360,137,0.024384424,0.03261894
90978,124,0.02397808,0.032237485
92816,124,0.02129894,0.026726734
13253,119,0.022877399,0.033811186
92776,119,0.02634688,0.018517544
77699,118,0.025260925,0.06703133
13108,117,0.024904137,0.015331785
93284,116,0.022197185,0.048312467
82779,116,0.023865974,0.06707683
90533,116,0.022770224,0.026205923
13634,115,0.02407199,0.035516955
91488,115,0.024860933,0.030558025
12579,114,0.024604063,-0.0031893235
90029,114,0.024540601,0.027198806
12443,113,0.022206241,-0.002885621
10258,111,0.023439309,0.0885293
13947,111,0.025051331,0.021190181
13643,109,0.025329828,0.046402257
93269,109,0.02165142,0.04443011
13107,108,0.0266758,0.051290203
