date,t,long_ret,short_ret,ls_ret,chars_ls_ret,market_ret,n_long,n_short,n_total
201101,0,0.070778735,0.0015173716,0.069261365,-0.014591882,0.014311724,657,657,6570
201102,1,0.10089663,0.021957014,0.07893962,0.03674177,0.036955554,659,660,6591
201103,2,0.05171079,0.0038782666,0.047832523,0.025504198,0.008504871,660,660,6593
201104,3,0.059488844,0.009893263,0.04959558,0.021688623,0.019180764,660,660,6593
201105,4,-0.020313358,0.009513545,-0.029826902,0.01642734,-0.018549489,662,662,6619
201106,5,-0.031573445,-0.0020073894,-0.029566055,0.033940554,-0.02413505,665,665,6642
201107,6,0.008005577,-0.015390568,0.023396146,0.013162088,-0.021855367,666,666,6657
201108,7,-0.11879954,-0.0072202156,-0.11157932,0.023269825,-0.075877175,668,668,6675
201109,8,-0.14873283,-0.021516548,-0.12721628,0.04189439,-0.10091977,668,668,6677
201110,9,0.23531163,0.01966218,0.21564944,0.026968807,0.10769731,668,668,6679
201111,10,-0.0054971324,0.002439291,-0.007936424,0.04168109,-0.020644775,667,667,6670
201112,11,0.011245885,0.015301981,-0.004056096,0.046858292,-0.0035606998,666,666,6654
201201,12,0.20960224,0.040276542,0.1693257,-0.055105656,0.08534192,666,666,6652
201202,13,0.10448049,0.015029388,0.089451104,-0.0064725243,0.03654267,666,666,6654
201203,14,0.06316083,0.003970158,0.059190672,0.023181923,0.01755659,670,670,6693
201204,15,0.007464012,0.009615812,-0.0021518003,0.014581144,-0.009114384,671,671,6706
201205,16,-0.075512215,-0.011693133,-0.06381908,0.01354038,-0.0685654,672,673,6721
201206,17,0.07085442,0.01678286,0.05407156,0.012652749,0.034196083,673,673,6726
201207,18,0.016088447,0.015843762,0.00024468452,0.0036133397,-0.0032475325,671,671,6707
201208,19,0.08370806,0.005451666,0.0782564,-0.009304311,0.024723427,668,668,6680
201209,20,0.10016147,0.022299947,0.077861525,-0.0038410164,0.034734663,667,667,6670
201210,21,-0.0093383035,0.0016113851,-0.010949689,0.02871233,-0.013516445,661,662,6611
201211,22,0.041117415,0.0029749365,0.03814248,0.018700195,0.0026714702,664,664,6637
201212,23,0.055823974,-0.0032091958,0.05903317,0.030584678,0.021778401,662,662,6614
201301,24,0.14398533,0.035055455,0.10892987,0.0058211014,0.063331276,663,663,6622
201302,25,0.032749284,0.002143207,0.030606076,0.032528907,0.0034337267,660,661,6601
201303,26,0.084105864,0.005710213,0.07839565,0.020588117,0.031351935,660,660,6600
201304,27,0.030556044,0.0050009754,0.025555069,0.028130766,0.0025202492,659,659,6587
201305,28,0.11862691,-0.018908933,0.13753584,0.0063118525,0.02381084,661,661,6602
201306,29,0.004349596,-0.012847053,0.017196648,0.0417132,-0.013132603,663,663,6628
201307,30,0.15531203,0.0195426,0.13576943,0.0064844117,0.054838367,665,665,6643
201308,31,0.04433211,-0.023843829,0.06817594,-0.0140105495,-0.017270112,668,668,6673
201309,32,0.12737781,0.025827248,0.101550564,0.019634292,0.05182245,670,670,6695
201310,33,0.03402044,0.01876121,0.015259229,0.04175119,0.025798593,670,670,6699
201311,34,0.09231864,-0.0026379924,0.09495663,0.0035662204,0.023283165,673,673,6726
201312,35,0.09692506,0.011034976,0.085890085,0.009109812,0.025222458,676,676,6754
201401,36,0.11214357,0.0060423324,0.10610124,-0.06507107,-0.0013220919,677,677,6767
201402,37,0.112054326,0.0190465,0.093007825,-0.0068031996,0.044294186,679,679,6787
201403,38,-0.00032619372,0.008965336,-0.00929153,0.030677408,0.0010624516,681,681,6804
201404,39,-0.06623298,0.0128676295,-0.07910061,0.039014976,-0.022209112,684,684,6840
201405,40,0.017992442,0.011588875,0.0064035673,0.02650259,0.006705014,687,687,6870
201406,41,0.120361574,0.009341596,0.11101998,-0.01750585,0.03941587,690,690,6897
201407,42,-0.045196645,-0.0115103265,-0.033686318,0.022312615,-0.035158113,694,694,6936
201408,43,0.10770578,0.015551566,0.09215421,0.01690488,0.033559956,698,698,6973
201409,44,-0.042920016,-0.013384986,-0.02953503,0.029871684,-0.044939518,698,698,6980
201410,45,0.022611583,0.012021945,0.010589638,0.056515194,0.014100634,699,699,6983
201411,46,0.0026237252,0.0038389515,-0.0012152262,0.033440102,-0.002472206,702,702,7016
201412,47,0.051380374,0.004922145,0.04645823,0.03162633,-0.00035789234,704,704,7032
201501,48,0.0074277706,0.0074483617,-2.0591076e-05,-0.013236102,-0.019079626,703,703,7028
201502,49,0.15938999,0.007706875,0.1516831,-0.019842401,0.05405173,703,704,7031
201503,50,0.021162054,0.0015222785,0.019639775,0.03329416,-0.0051655862,704,704,7039
201504,51,0.10114128,0.008151087,0.0929902,-0.038215853,0.015080222,706,706,7054
201505,52,0.074873894,-0.0073488406,0.08222274,0.009140897,0.003952887,708,708,7072
201506,53,0.018775055,-0.014720836,0.03349589,0.0052792327,-0.013483781,710,710,7100
201507,54,-0.021846382,0.003732609,-0.02557899,0.028862478,-0.027006602,714,714,7140
201508,55,-0.018071426,-0.018220793,0.00014936738,0.014787525,-0.04723031,719,719,7184
201509,56,-0.085925095,-0.0027861,-0.083138995,0.03807222,-0.04975847,720,720,7193
201510,57,0.10102662,0.025352359,0.07567426,0.031511884,0.052732937,719,719,7182
201511,58,0.11438371,0.0024237188,0.111959994,-0.025994178,0.0072427294,721,722,7211
201512,59,-0.026593706,0.0028731094,-0.029466815,0.014948886,-0.035803054,723,723,7223
201601,60,-0.14477573,-0.019754745,-0.12502098,0.06773878,-0.07470965,722,723,7221
201602,61,0.050961733,0.0017237919,0.04923794,0.004944454,0.0052364306,720,721,7201
201603,62,0.18852514,0.029334715,0.15919043,0.012250386,0.077670574,718,718,7175
201604,63,0.16939867,0.017511996,0.15188667,-0.025532559,0.039375573,716,716,7156
201605,64,0.037500322,0.0043034675,0.033196855,0.010612024,-0.0006091235,716,716,7153
201606,65,0.06055725,0.012593039,0.04796421,0.03579873,0.005476814,717,717,7169
201607,66,0.14844997,0.019013407,0.12943657,0.009078901,0.04941813,717,717,7165
201608,67,0.08050155,0.0028763174,0.07762523,0.0060621444,0.0125805335,715,715,7146
201609,68,0.113105364,0.002647569,0.11045779,-0.008304106,0.015086282,712,712,7113
201610,69,-0.083629616,-0.016208129,-0.06742149,0.04941816,-0.039744448,715,715,7144
201611,70,0.14222449,0.011908568,0.13031593,0.03862418,0.04971095,715,715,7149
201612,71,0.011963447,0.024017902,-0.0120544555,0.04261285,0.015624442,715,715,7144
201701,72,0.101017416,0.01618787,0.08482955,-0.024081178,0.025318632,716,716,7159
201702,73,0.05232031,0.015208569,0.03711174,-0.015041382,0.016776677,718,718,7178
201703,74,0.042159565,0.0025328032,0.039626762,-0.012025917,0.006163882,716,716,7157
201704,75,0.006987763,0.009945494,-0.002957731,0.020962084,0.003407477,717,717,7165
201705,76,0.0014964397,0.010652405,-0.009155965,0.03514543,-0.011405852,719,719,7182
201706,77,0.105011836,0.0032304416,0.10178139,-0.029043721,0.02190299,719,720,7191
201707,78,0.022998203,0.008787198,0.014211005,0.026859825,0.008572411,720,720,7199
201708,79,0.043625306,-0.0048870933,0.0485124,0.021936193,-0.009375729,722,722,7213
201709,80,0.15634355,0.0069494047,0.14939414,-0.04126487,0.045132015,717,717,7168
201710,81,0.028509455,0.0014733806,0.027036075,0.023668135,0.0016768851,717,717,7168
201711,82,0.09054181,0.005779858,0.084761955,0.0015925076,0.019778881,721,721,7204
201712,83,0.07702721,0.008493234,0.06853397,-0.0045730304,0.014328892,726,726,7252
201801,84,0.09641052,0.0018954716,0.09451505,-0.0023581423,0.02837563,728,728,7272
201802,85,-0.010934958,-0.024000954,0.013065996,0.020965517,-0.040785,730,730,7297
201803,86,0.04769472,-0.0008433375,0.04853806,0.03036375,-0.00022405019,732,732,7314
201804,87,0.04212954,0.00073573407,0.041393805,0.006605207,0.0066316156,725,726,7251
201805,88,0.143326,0.0046836133,0.13864239,0.019373499,0.03218098,732,732,7313
201806,89,0.056460403,-0.0022213098,0.05868171,0.03277964,0.0012034989,733,733,7326
