permno,n_months,mean_pred_ret,mean_actual_ret
90922,153,0.0040556556,0.00040140515
88930,150,0.004276796,0.0025055932
91176,150,0.004135836,0.0025504604
75415,149,0.003948713,0.0028253559
77910,147,0.0041641453,0.0014335578
79049,146,0.0040373392,0.0023206368
75306,146,0.004128694,0.0005600892
77693,145,0.004082132,0.0017591655
75240,144,0.0042616776,0.0018886597
77469,144,0.004318809,0.0033235902
75623,144,0.0040923874,0.0026741456
89516,144,0.004131499,0.002018375
91691,143,0.004139803,0.0023796642
90057,143,0.0042691478,0.0015622939
77377,143,0.0042095473,0.0016622867
77692,143,0.0041838787,0.003636091
89600,143,0.004261232,0.0038551192
75405,143,0.0043428796,0.006157727
75354,142,0.004315356,0.0040956335
76572,142,0.004275618,0.003587345
